Easting,Northing,Elevation,Distance (m),origin,
407755.9985,1420175.899,29.11104277,0,Maptiler terrain provider,a
407756.9962,1420175.835,29.09050196,1.000084043,Maptiler terrain provider,a
407757.9938,1420175.772,29.06996115,2.000168085,Maptiler terrain provider,a
407758.9915,1420175.708,29.04942034,3.000252247,Maptiler terrain provider,a
407759.9892,1420175.644,29.02887953,4.00033617,Maptiler terrain provider,a
407760.9869,1420175.581,29.00833872,5.000420094,Maptiler terrain provider,a
407761.9846,1420175.517,28.98779791,6.000504494,Maptiler terrain provider,a
407762.9823,1420175.453,28.96725711,7.000588417,Maptiler terrain provider,a
407763.98,1420175.39,28.9467163,8.00067234,Maptiler terrain provider,a
407764.9776,1420175.326,28.9261755,9.000756264,Maptiler terrain provider,a
407765.9753,1420175.262,28.90563469,10.00084019,Maptiler terrain provider,a
407766.973,1420175.199,28.88509388,11.00092411,Maptiler terrain provider,a
407767.9707,1420175.135,28.86455308,12.00100899,Maptiler terrain provider,a
407768.9684,1420175.071,28.84401228,13.00109291,Maptiler terrain provider,a
407769.9661,1420175.008,28.82347147,14.00117683,Maptiler terrain provider,a
407770.9637,1420174.944,28.80293067,15.00126076,Maptiler terrain provider,a
407771.9614,1420174.88,28.78238987,16.00134468,Maptiler terrain provider,a
407772.9591,1420174.817,28.76184906,17.0014286,Maptiler terrain provider,a
407773.9568,1420174.753,28.74130826,18.00151253,Maptiler terrain provider,a
407774.9545,1420174.689,28.72076746,19.00159645,Maptiler terrain provider,a
407775.9522,1420174.626,28.70022666,20.00168037,Maptiler terrain provider,a
407776.9499,1420174.562,28.67968586,21.0017643,Maptiler terrain provider,a
407777.9475,1420174.498,28.65914506,22.00184822,Maptiler terrain provider,a
407778.9452,1420174.435,28.63860426,23.00193405,Maptiler terrain provider,a
407779.9429,1420174.371,28.61806346,24.00201797,Maptiler terrain provider,a
407780.9406,1420174.307,28.59752266,25.0021019,Maptiler terrain provider,a
407781.9383,1420174.244,28.57698186,26.00218582,Maptiler terrain provider,
407782.936,1420174.18,28.55644106,27.00226974,Maptiler terrain provider,
407783.9337,1420174.116,28.53590026,28.00235367,Maptiler terrain provider,
407784.9313,1420174.053,28.51535947,29.00243759,Maptiler terrain provider,
407785.929,1420173.989,28.49481867,30.00252151,Maptiler terrain provider,
407786.9267,1420173.926,28.47427787,31.00260544,Maptiler terrain provider,
407787.9244,1420173.862,28.45373708,32.00268936,Maptiler terrain provider,
407788.9221,1420173.798,28.43319628,33.00277328,Maptiler terrain provider,
